First Name,Last Name,Email,Father Name,Mother Name,Date of Birth,Mobile No,Category,Gender,Classroom,Subjects,Current Address,Permanent Address,Weight,Height
Nicole,Walker,nicole.walker@schoolmail.com,Cameron King,Melanie Williams,2009-07-26,4690550031,SC,Female,10th,"Maths, Science, English, Social Studies, Hindi","Unit 3435 Box 3321, DPO AA 15945","77780 Fisher Corner, Heatherville, NC 55223",52,5.1
Kayla,Cordova,kayla.cordova@schoolmail.com,Matthew Jones,Joy Lucas,2010-02-11,3650416676,SC,Male,10th,"Maths, Science, English, Social Studies, Hindi","9950 Kimberly Village, Choiview, VA 94278","76543 Kevin Lane, West Annaborough, NV 79476",45,5.9
Robert,Aguilar,robert.aguilar@schoolmail.com,Tyrone Clark,Karen Schwartz,2011-05-01,9469956413,SC,Female,10th,"Maths, Science, English, Social Studies, Hindi","99856 Medina Drive Apt. 189, Timothybury, AZ 54370","11932 Whitehead Fort Apt. 419, Carsonshire, NM 15359",41,5.7
Henry,Kline,henry.kline@schoolmail.com,Christopher Glass,Mary Collins,2008-12-23,4464947065,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","6542 Lopez Vista Apt. 606, Tanyaville, DE 59651","73506 Burch Gardens Apt. 323, Lake Douglas, DE 20109",54,5.0
Mark,Shaw,mark.shaw@schoolmail.com,Bobby Wright,Gabrielle Powers,2010-04-14,7297622283,SC,Male,10th,"Maths, Science, English, Social Studies, Hindi","956 Nicholas Square, Nicolestad, SD 15787","870 Michael Terrace, Hintonchester, KS 28890",65,5.0
Theresa,Hall,theresa.hall@schoolmail.com,Curtis Tran,Ellen Jacobs,2011-07-31,2650610891,OBC,Male,10th,"Maths, Science, English, Social Studies, Hindi","USCGC Gallegos, FPO AP 62837","USNV Yang, FPO AP 58476",52,5.1
Annette,Brown,annette.brown@schoolmail.com,Eric Phillips,Caitlin Hudson,2010-01-17,5268324420,SC,Male,10th,"Maths, Science, English, Social Studies, Hindi","546 Danielle Rest, Deannastad, KS 31526","9959 Wright Island, Lisaburgh, AR 30301",52,6.0
Glenda,Nicholson,glenda.nicholson@schoolmail.com,Robert Tyler,Kerri Rodriguez,2009-04-27,6864730884,OTHERS,Female,10th,"Maths, Science, English, Social Studies, Hindi","8709 Knapp Parks Apt. 758, Lake Victoriabury, OR 85701","309 Sanders Mountain, Whitefurt, MN 35694",41,5.5
Christina,Wells,christina.wells@schoolmail.com,Sean Hall,Suzanne Powell,2009-07-16,2645301220,GENERAL,Male,10th,"Maths, Science, English, Social Studies, Hindi","617 Jason Heights, Port Jasmine, SD 61332","702 Michelle Common, North Margaret, VT 13706",59,5.9
Alexander,Graham,alexander.graham@schoolmail.com,Andres Perry,Diana Baker,2010-06-12,6737459404,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","21704 Cook Ford Suite 123, Lawrenceborough, MO 82461","0574 Bentley Point Apt. 385, South Craig, MD 51838",55,4.9
Luis,Pitts,luis.pitts@schoolmail.com,Michael Turner,Nicole Brown,2009-03-01,5682322341,ST,Female,10th,"Maths, Science, English, Social Studies, Hindi","2858 White Ridges Suite 649, West Adriennemouth, DC 36094","1170 Martinez Mission Suite 480, New Alexandrafurt, AK 09776",64,4.7
Dylan,Hicks,dylan.hicks@schoolmail.com,Nicholas Mathews,Emily Casey DDS,2011-09-30,7250669374,OTHERS,Male,10th,"Maths, Science, English, Social Studies, Hindi","6765 Erika Village, Audreyburgh, VT 63675","0765 Tracy Plaza Suite 521, Port Christina, WI 34207",70,4.6
